TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
station                        | T0_MEGA_HUB          |    13 |     31308773.71
terminal                       | T0_MEGA_HUB          |    26 |     30770966.66
hospital                       | T1_REGIONAL_MAGNET   |     8 |     21496085.31
university                     | T1_REGIONAL_MAGNET   |     8 |     20253851.87
college                        | T1_REGIONAL_MAGNET   |     6 |     20127617.85
stadium                        | T1_REGIONAL_MAGNET   |     6 |     20049359.43
prison                         | T2_STRATEGIC_HUB     |     1 |      1857463.51
school                         | T2_STRATEGIC_HUB     |   105 |      1731060.06
mall                           | T2_STRATEGIC_HUB     |    14 |      1482420.00
department_store               | T2_STRATEGIC_HUB     |     3 |      1436852.90
courthouse                     | T2_STRATEGIC_HUB     |     4 |      1424761.61
government                     | T2_STRATEGIC_HUB     |    20 |      1201882.42
supermarket                    | T2_STRATEGIC_HUB     |    93 |      1088055.02
townhall                       | T2_STRATEGIC_HUB     |     7 |      1078206.09
fire_station                   | T2_STRATEGIC_HUB     |    47 |      1028241.79
social_facility                | T2_STRATEGIC_HUB     |    15 |       954164.70
police                         | T2_STRATEGIC_HUB     |    13 |       913665.50
nursing_home                   | T3_LOCAL_CORE        |     1 |       168039.09
water_park                     | T3_LOCAL_CORE        |     1 |       165639.28
kindergarten                   | T3_LOCAL_CORE        |    38 |       148101.23
theatre                        | T3_LOCAL_CORE        |     4 |       143734.60
music_school                   | T3_LOCAL_CORE        |     1 |       131559.84
sports_hall                    | T3_LOCAL_CORE        |     2 |       110143.97
swimming_pool                  | T3_LOCAL_CORE        |     7 |       103639.57
cinema                         | T3_LOCAL_CORE        |     4 |        83485.99
language_school                | T3_LOCAL_CORE        |     2 |        65534.65
driving_school                 | T3_LOCAL_CORE        |     2 |        65534.65
clinic                         | T3_LOCAL_CORE        |    10 |        63025.67
