TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
pharmacy                       | T4_DAILY_SERVICE     |    30 |         5253.24
arts_centre                    | T5_SPEC_GASTRO       |     4 |         1061.25
food_court                     | T5_SPEC_GASTRO       |     1 |          803.94
car_repair                     | T5_SPEC_GASTRO       |     6 |          664.61
beauty                         | T5_SPEC_GASTRO       |     1 |          571.93
nightclub                      | T5_SPEC_GASTRO       |     2 |          562.34
cafe                           | T5_SPEC_GASTRO       |     4 |          552.77
pub                            | T5_SPEC_GASTRO       |     5 |          549.70
hairdresser                    | T5_SPEC_GASTRO       |     6 |          547.19
bar                            | T5_SPEC_GASTRO       |     6 |          547.19
chemist                        | T5_SPEC_GASTRO       |     7 |          545.07
company                        | T5_SPEC_GASTRO       |     7 |          545.07
fast_food                      | T5_SPEC_GASTRO       |    14 |          535.60
car_wash                       | T5_SPEC_GASTRO       |    14 |          535.60
restaurant                     | T5_SPEC_GASTRO       |    36 |          522.90
playground                     | T6_MICRO_INFRA       |   141 |            7.85
toilets                        | T6_MICRO_INFRA       |     4 |            5.97
kiosk                          | T6_MICRO_INFRA       |     4 |            5.79
newsagent                      | T6_MICRO_INFRA       |     1 |            5.72
vending_machine                | T6_MICRO_INFRA       |     1 |            5.72
fountain                       | T6_MICRO_INFRA       |     6 |            5.62
picnic_table                   | T6_MICRO_INFRA       |     5 |            5.50
atm                            | T6_MICRO_INFRA       |    21 |            5.30
parcel_locker                  | T6_MICRO_INFRA       |    42 |            5.21

==========================================================================================

CITY: LUBLIN
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     3 |    177276500.20
apron                          | T0_MEGA_HUB          |     5 |     86648508.23
hangar                         | T0_MEGA_HUB          |  1536 |     43937854.21
terminal                       | T0_MEGA_HUB          |    15 |     33777679.93
station                        | T0_MEGA_HUB          |    27 |     33296916.65
hospital                       | T1_REGIONAL_MAGNET   |    23 |     20998238.02
university                     | T1_REGIONAL_MAGNET   |    31 |     19407219.32
stadium                        | T1_REGIONAL_MAGNET   |    19 |     16473130.86
college                        | T1_REGIONAL_MAGNET   |    57 |      6537377.86
prison                         | T2_STRATEGIC_HUB     |     2 |      2438441.83
mall                           | T2_STRATEGIC_HUB     |    32 |      1691525.27
police                         | T2_STRATEGIC_HUB     |    25 |      1439321.47
courthouse                     | T2_STRATEGIC_HUB     |    11 |      1398081.60
school                         | T2_STRATEGIC_HUB     |   338 |      1138064.90
department_store               | T2_STRATEGIC_HUB     |     3 |      1137016.14
supermarket                    | T2_STRATEGIC_HUB     |   207 |      1123058.53
social_facility                | T2_STRATEGIC_HUB     |    76 |      1064028.98
townhall                       | T2_STRATEGIC_HUB     |    17 |       673505.27
fire_station                   | T2_STRATEGIC_HUB     |    74 |       649485.95
government                     | T2_STRATEGIC_HUB     |    80 |       648217.38
water_park                     | T3_LOCAL_CORE        |     1 |       242713.27
sports_hall                    | T3_LOCAL_CORE        |    21 |       116284.49
theatre                        | T3_LOCAL_CORE        |    10 |        79854.33
swimming_pool                  | T3_LOCAL_CORE        |    93 |        73518.66
nursing_home                   | T3_LOCAL_CORE        |     4 |        69720.01
music_school                   | T3_LOCAL_CORE        |     6 |        69055.77
cinema                         | T3_LOCAL_CORE        |     7 |        68803.27
language_school                | T3_LOCAL_CORE        |    11 |        68063.08
driving_school                 | T3_LOCAL_CORE        |    17 |        67350.53
clinic                         | T3_LOCAL_CORE        |    48 |        65654.05
dentist                        | T3_LOCAL_CORE        |    61 |        65263.23
library                        | T3_LOCAL_CORE        |    75 |        64926.75
doctors                        | T3_LOCAL_CORE        |   110 |        64304.40
kindergarten                   | T3_LOCAL_CORE        |   346 |        62461.96
park                           | T4_DAILY_SERVICE     |   270 |        15197.26
garden                         | T4_DAILY_SERVICE     |  1595 |        12238.93
place_of_worship               | T4_DAILY_SERVICE     |   173 |        10678.13
fuel                           | T4_DAILY_SERVICE     |   115 |         7258.06
hardware                       | T4_DAILY_SERVICE     |    16 |         6744.97
pet                            | T4_DAILY_SERVICE     |    20 |         6708.46
bureau_de_change               | T4_DAILY_SERVICE     |    20 |         6708.46
butcher                        | T4_DAILY_SERVICE     |    24 |         6678.64
furniture                      | T4_DAILY_SERVICE     |    25 |         6671.97
electronics                    | T4_DAILY_SERVICE     |    26 |         6665.55
shoes                          | T4_DAILY_SERVICE     |    35 |         6616.97
optician                       | T4_DAILY_SERVICE     |    40 |         6595.16
charging_station               | T4_DAILY_SERVICE     |    50 |         6558.75
post_office                    | T4_DAILY_SERVICE     |    62 |         6523.67
florist                        | T4_DAILY_SERVICE     |    69 |         6506.25
bakery                         | T4_DAILY_SERVICE     |    70 |         6503.91
bicycle_rental                 | T4_DAILY_SERVICE     |    95 |         6454.24
bank                           | T4_DAILY_SERVICE     |    96 |         6452.54
pharmacy                       | T4_DAILY_SERVICE     |   183 |         6348.13
clothes                        | T4_DAILY_SERVICE     |   188 |         6343.79
convenience                    | T4_DAILY_SERVICE     |   476 |         6195.85
car_wash                       | T5_SPEC_GASTRO       |    94 |          826.20
arts_centre                    | T5_SPEC_GASTRO       |     1 |          719.92
food_court                     | T5_SPEC_GASTRO       |     6 |          690.56
nightclub                      | T5_SPEC_GASTRO       |    12 |          679.21
bar                            | T5_SPEC_GASTRO       |    26 |          666.56
pub                            | T5_SPEC_GASTRO       |    31 |          663.68
chemist                        | T5_SPEC_GASTRO       |    38 |          660.35
cafe                           | T5_SPEC_GASTRO       |    60 |          652.90
beauty                         | T5_SPEC_GASTRO       |    61 |          652.63
community_centre               | T5_SPEC_GASTRO       |    63 |          652.11
company                        | T5_SPEC_GASTRO       |   101 |          644.43
hairdresser                    | T5_SPEC_GASTRO       |   120 |          641.63
car_repair                     | T5_SPEC_GASTRO       |   151 |          637.91
fast_food                      | T5_SPEC_GASTRO       |   159 |          637.08
restaurant                     | T5_SPEC_GASTRO       |   285 |          627.71
playground                     | T6_MICRO_INFRA       |   989 |            9.15
kiosk                          | T6_MICRO_INFRA       |    63 |            6.70
newsagent                      | T6_MICRO_INFRA       |    29 |            6.65
fountain                       | T6_MICRO_INFRA       |    50 |            6.56
toilets                        | T6_MICRO_INFRA       |   106 |            6.44
picnic_table                   | T6_MICRO_INFRA       |   113 |            6.43
atm                            | T6_MICRO_INFRA       |   138 |            6.39
vending_machine                | T6_MICRO_INFRA       |   328 |            6.25
parcel_locker                  | T6_MICRO_INFRA       |   517 |            6.18

==========================================================================================

CITY: OLSZTYN
Total recognized POI types: 84
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |    15 |    137378342.36
apron                          | T0_MEGA_HUB          |     9 |    108590786.41
hangar                         | T0_MEGA_HUB          |    24 |     57589256.11
terminal                       | T0_MEGA_HUB          |    14 |     35047646.00
ferry_terminal                 | T0_MEGA_HUB          |    18 |     34834690.30
station                        | T0_MEGA_HUB          |   150 |     33045749.98
exhibition_centre              | T1_REGIONAL_MAGNET   |     1 |     30752261.76
hospital                       | T1_REGIONAL_MAGNET   |    26 |     23724493.60
stadium                        | T1_REGIONAL_MAGNET   |    22 |     20902456.70
college                        | T1_REGIONAL_MAGNET   |     6 |     15805302.62
university                     | T1_REGIONAL_MAGNET   |    36 |      6849577.85
prison                         | T2_STRATEGIC_HUB     |     8 |      1951610.61
school                         | T2_STRATEGIC_HUB     |   320 |      1772770.31
mall                           | T2_STRATEGIC_HUB     |    41 |      1530868.12
department_store               | T2_STRATEGIC_HUB     |     4 |      1290986.96
courthouse                     | T2_STRATEGIC_HUB     |    15 |      1251669.55
supermarket                    | T2_STRATEGIC_HUB     |   344 |      1185455.42
townhall                       | T2_STRATEGIC_HUB     |    49 |      1074841.47
police                         | T2_STRATEGIC_HUB     |    52 |       968439.37
fire_station                   | T2_STRATEGIC_HUB     |   296 |       875240.66
social_facility                | T2_STRATEGIC_HUB     |    65 |       674974.97
government                     | T2_STRATEGIC_HUB     |   198 |       656277.69
sports_hall                    | T3_LOCAL_CORE        |    45 |       131717.98
nursing_home                   | T3_LOCAL_CORE        |     2 |       126917.68
concert_hall                   | T3_LOCAL_CORE        |     1 |       121849.79
museum                         | T3_LOCAL_CORE        |     1 |       120611.82
theatre                        | T3_LOCAL_CORE        |    30 |       118010.63
clinic                         | T3_LOCAL_CORE        |    22 |       110147.53
swimming_pool                  | T3_LOCAL_CORE        |    47 |        85696.16
music_school                   | T3_LOCAL_CORE        |     5 |        71841.39
language_school                | T3_LOCAL_CORE        |     7 |        71270.63
water_park                     | T3_LOCAL_CORE        |     7 |        71270.63
cinema                         | T3_LOCAL_CORE        |    10 |        70665.74
driving_school                 | T3_LOCAL_CORE        |    12 |        70356.61
library                        | T3_LOCAL_CORE        |    53 |        67842.01
dentist                        | T3_LOCAL_CORE        |    56 |        67749.03
doctors                        | T3_LOCAL_CORE        |   128 |        66357.25
kindergarten                   | T3_LOCAL_CORE        |   182 |        65768.29
park                           | T4_DAILY_SERVICE     |   298 |        17370.51
garden                         | T4_DAILY_SERVICE     |  1068 |        13196.05
place_of_worship               | T4_DAILY_SERVICE     |   706 |         9656.55
bicycle_rental                 | T4_DAILY_SERVICE     |     7 |         7127.06
bureau_de_change               | T4_DAILY_SERVICE     |    23 |         6925.41
hardware                       | T4_DAILY_SERVICE     |    26 |         6904.65
pet                            | T4_DAILY_SERVICE     |    32 |         6869.51
optician                       | T4_DAILY_SERVICE     |    36 |         6849.58
electronics                    | T4_DAILY_SERVICE     |    47 |         6804.50
shoes                          | T4_DAILY_SERVICE     |    53 |         6784.20
charging_station               | T4_DAILY_SERVICE     |    55 |         6777.95
furniture                      | T4_DAILY_SERVICE     |    60 |         6763.26
butcher                        | T4_DAILY_SERVICE     |    61 |         6760.47
florist                        | T4_DAILY_SERVICE     |    93 |         6689.39
post_office                    | T4_DAILY_SERVICE     |   101 |         6675.51
bakery                         | T4_DAILY_SERVICE     |   145 |         6614.83
bank                           | T4_DAILY_SERVICE     |   160 |         6598.35
fuel                           | T4_DAILY_SERVICE     |   162 |         6596.28
pharmacy                       | T4_DAILY_SERVICE     |   247 |         6526.01
clothes                        | T4_DAILY_SERVICE     |   296 |         6496.05
convenience                    | T4_DAILY_SERVICE     |   696 |         6356.99
arts_centre                    | T5_SPEC_GASTRO       |    24 |         1043.45
community_centre               | T5_SPEC_GASTRO       |    77 |          893.68
food_court                     | T5_SPEC_GASTRO       |     8 |          852.49
car_wash                       | T5_SPEC_GASTRO       |   107 |          840.09
office                         | T5_SPEC_GASTRO       |     1 |          745.72
nightclub                      | T5_SPEC_GASTRO       |    14 |          700.95
bar                            | T5_SPEC_GASTRO       |    52 |          678.74
chemist                        | T5_SPEC_GASTRO       |    56 |          677.49
beauty                         | T5_SPEC_GASTRO       |    66 |          674.72
cafe                           | T5_SPEC_GASTRO       |    69 |          673.97
pub                            | T5_SPEC_GASTRO       |    70 |          673.73
company                        | T5_SPEC_GASTRO       |   108 |          666.42
car_repair                     | T5_SPEC_GASTRO       |   134 |          662.80
hairdresser                    | T5_SPEC_GASTRO       |   170 |          658.82
fast_food                      | T5_SPEC_GASTRO       |   228 |          653.93
restaurant                     | T5_SPEC_GASTRO       |   526 |          640.20
playground                     | T6_MICRO_INFRA       |   955 |            9.69
kiosk                          | T6_MICRO_INFRA       |    36 |            7.07
newsagent                      | T6_MICRO_INFRA       |    17 |            6.98
vending_machine                | T6_MICRO_INFRA       |    82 |            6.71
fountain                       | T6_MICRO_INFRA       |    84 |            6.71
picnic_table                   | T6_MICRO_INFRA       |   123 |            6.64
toilets                        | T6_MICRO_INFRA       |   181 |            6.58
atm                            | T6_MICRO_INFRA       |   223 |            6.54
parcel_locker                  | T6_MICRO_INFRA       |   614 |            6.38

==========================================================================================

CITY: OPOLE
Total recognized POI types: 77
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     1 |    158331684.54
apron                          | T0_MEGA_HUB          |     1 |     98640753.66
port                           | T0_MEGA_HUB          |     1 |     97196241.71
hangar                         | T0_MEGA_HUB          |     4 |     52224416.21
station                        | T0_MEGA_HUB          |    16 |     29625358.48
terminal                       | T0_MEGA_HUB          |   120 |     28151648.51
college                        | T1_REGIONAL_MAGNET   |     3 |     20181157.62
hospital                       | T1_REGIONAL_MAGNET   |     8 |     19521754.47
stadium                        | T1_REGIONAL_MAGNET   |     3 |     19165392.36
university                     | T1_REGIONAL_MAGNET   |    14 |     17344685.86
prison                         | T2_STRATEGIC_HUB     |     2 |      1805416.78
mall                           | T2_STRATEGIC_HUB     |    10 |      1643924.74
department_store               | T2_STRATEGIC_HUB     |     2 |      1417228.04
school                         | T2_STRATEGIC_HUB     |    71 |      1398324.79
courthouse                     | T2_STRATEGIC_HUB     |     6 |      1142497.00
supermarket                    | T2_STRATEGIC_HUB     |    79 |      1005045.35
townhall                       | T2_STRATEGIC_HUB     |     7 |       902867.43
fire_station                   | T2_STRATEGIC_HUB     |    30 |       877018.92
police                         | T2_STRATEGIC_HUB     |     9 |       601090.32
social_facility                | T2_STRATEGIC_HUB     |    10 |       599516.44
government                     | T2_STRATEGIC_HUB     |    54 |       574534.65
theatre                        | T3_LOCAL_CORE        |     3 |       146207.67
sports_hall                    | T3_LOCAL_CORE        |     9 |       111126.76
swimming_pool                  | T3_LOCAL_CORE        |     8 |       103367.63
kindergarten                   | T3_LOCAL_CORE        |    49 |        96936.92
clinic                         | T3_LOCAL_CORE        |     6 |        96898.10
language_school                | T3_LOCAL_CORE        |     2 |        62361.36
driving_school                 | T3_LOCAL_CORE        |     2 |        62361.36
cinema                         | T3_LOCAL_CORE        |     3 |        61753.51
library                        | T3_LOCAL_CORE        |     9 |        60109.03
dentist                        | T3_LOCAL_CORE        |    11 |        59809.34
doctors                        | T3_LOCAL_CORE        |    29 |        58367.89
park                           | T4_DAILY_SERVICE     |    28 |        16364.84
place_of_worship               | T4_DAILY_SERVICE     |    88 |         9071.78
garden                         | T4_DAILY_SERVICE     |    32 |         6238.09
bureau_de_change               | T4_DAILY_SERVICE     |     4 |         6132.25
hardware                       | T4_DAILY_SERVICE     |     6 |         6071.54
butcher                        | T4_DAILY_SERVICE     |     7 |         6048.47
pet                            | T4_DAILY_SERVICE     |     8 |         6028.51
furniture                      | T4_DAILY_SERVICE     |     9 |         6010.90
electronics                    | T4_DAILY_SERVICE     |    10 |         5995.16
shoes                          | T4_DAILY_SERVICE     |    11 |         5980.93
optician                       | T4_DAILY_SERVICE     |    13 |         5956.01
florist                        | T4_DAILY_SERVICE     |    14 |         5944.96
post_office                    | T4_DAILY_SERVICE     |    16 |         5925.07
charging_station               | T4_DAILY_SERVICE     |    19 |         5899.50
bicycle_rental                 | T4_DAILY_SERVICE     |    22 |         5877.73
bakery                         | T4_DAILY_SERVICE     |    23 |         5871.13
bank                           | T4_DAILY_SERVICE     |    23 |         5871.13
fuel                           | T4_DAILY_SERVICE     |    37 |         5800.82
pharmacy                       | T4_DAILY_SERVICE     |    62 |         5725.20
convenience                    | T4_DAILY_SERVICE     |    84 |         5681.25
clothes                        | T4_DAILY_SERVICE     |   103 |         5652.03
arts_centre                    | T5_SPEC_GASTRO       |     7 |          913.65
car_repair                     | T5_SPEC_GASTRO       |    20 |          871.25
food_court                     | T5_SPEC_GASTRO       |     1 |          816.86
car_wash                       | T5_SPEC_GASTRO       |    17 |          784.74
community_centre               | T5_SPEC_GASTRO       |     3 |          617.54
nightclub                      | T5_SPEC_GASTRO       |     3 |          617.54
pub                            | T5_SPEC_GASTRO       |     8 |          602.85
beauty                         | T5_SPEC_GASTRO       |    11 |          598.09
bar                            | T5_SPEC_GASTRO       |    15 |          593.47
chemist                        | T5_SPEC_GASTRO       |    16 |          592.51
hairdresser                    | T5_SPEC_GASTRO       |    21 |          588.46
company                        | T5_SPEC_GASTRO       |    28 |          584.20
cafe                           | T5_SPEC_GASTRO       |    32 |          582.22
fast_food                      | T5_SPEC_GASTRO       |    50 |          575.66
restaurant                     | T5_SPEC_GASTRO       |   117 |          563.39
playground                     | T6_MICRO_INFRA       |   162 |            8.36
kiosk                          | T6_MICRO_INFRA       |     6 |            6.07
newsagent                      | T6_MICRO_INFRA       |     7 |            6.05
fountain                       | T6_MICRO_INFRA       |    13 |            5.96
vending_machine                | T6_MICRO_INFRA       |    26 |            5.85
atm                            | T6_MICRO_INFRA       |    35 |            5.81
toilets                        | T6_MICRO_INFRA       |    35 |            5.81
picnic_table                   | T6_MICRO_INFRA       |    55 |            5.74
parcel_locker                  | T6_MICRO_INFRA       |    70 |            5.71

==========================================================================================

CITY: POZNAN
Total recognized POI types: 83
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
port                           | T0_MEGA_HUB          |     1 |    109707997.80
apron                          | T0_MEGA_HUB          |    36 |     94455180.57
hangar                         | T0_MEGA_HUB          |    59 |     61983609.70
aerodrome                      | T0_MEGA_HUB          |    17 |     38103194.81
ferry_terminal                 | T0_MEGA_HUB          |    18 |     38051733.56
terminal                       | T0_MEGA_HUB          |    76 |     36755769.19
station                        | T0_MEGA_HUB          |   184 |     35962039.10
exhibition_centre              | T1_REGIONAL_MAGNET   |     1 |     35379008.14
stadium                        | T1_REGIONAL_MAGNET   |    42 |     23589235.35
hospital                       | T1_REGIONAL_MAGNET   |    51 |     22757518.17
university                     | T1_REGIONAL_MAGNET   |    93 |     15358796.62
college                        | T1_REGIONAL_MAGNET   |    46 |      7441455.64
prison                         | T2_STRATEGIC_HUB     |     9 |      1951286.87
school                         | T2_STRATEGIC_HUB     |   759 |      1919953.31
mall                           | T2_STRATEGIC_HUB     |    94 |      1859481.23
courthouse                     | T2_STRATEGIC_HUB     |    24 |      1343474.36
supermarket                    | T2_STRATEGIC_HUB     |   837 |      1264805.41
townhall                       | T2_STRATEGIC_HUB     |   105 |      1151963.53
fire_station                   | T2_STRATEGIC_HUB     |   377 |       844283.67
department_store               | T2_STRATEGIC_HUB     |     9 |       773517.44
police                         | T2_STRATEGIC_HUB     |   100 |       730183.45
social_facility                | T2_STRATEGIC_HUB     |   121 |       726759.98
government                     | T2_STRATEGIC_HUB     |   281 |       711661.68
concert_hall                   | T3_LOCAL_CORE        |     1 |       180871.81
water_park                     | T3_LOCAL_CORE        |     9 |       177271.68
sports_hall                    | T3_LOCAL_CORE        |    31 |       151926.86
nursing_home                   | T3_LOCAL_CORE        |     3 |       141006.38
kindergarten                   | T3_LOCAL_CORE        |   561 |       120174.11
theatre                        | T3_LOCAL_CORE        |    35 |        86590.92
swimming_pool                  | T3_LOCAL_CORE        |   101 |        85891.63
music_school                   | T3_LOCAL_CORE        |    10 |        77161.98
cinema                         | T3_LOCAL_CORE        |    24 |        75585.50
language_school                | T3_LOCAL_CORE        |    44 |        74494.54
driving_school                 | T3_LOCAL_CORE        |    46 |        74414.56
clinic                         | T3_LOCAL_CORE        |   134 |        72492.81
library                        | T3_LOCAL_CORE        |   169 |        72076.52
dentist                        | T3_LOCAL_CORE        |   269 |        71244.19
doctors                        | T3_LOCAL_CORE        |   453 |        70314.51
park                           | T4_DAILY_SERVICE     |   626 |        21554.38
place_of_worship               | T4_DAILY_SERVICE     |   898 |        10864.36
garden                         | T4_DAILY_SERVICE     |  8173 |         7497.50
bicycle_rental                 | T4_DAILY_SERVICE     |    51 |         7422.89
bureau_de_change               | T4_DAILY_SERVICE     |    79 |         7344.19
hardware                       | T4_DAILY_SERVICE     |   100 |         7301.83
electronics                    | T4_DAILY_SERVICE     |   116 |         7275.18
pet                            | T4_DAILY_SERVICE     |   138 |         7244.00
furniture                      | T4_DAILY_SERVICE     |   152 |         7226.67
shoes                          | T4_DAILY_SERVICE     |   159 |         7218.59
charging_station               | T4_DAILY_SERVICE     |   184 |         7192.41
optician                       | T4_DAILY_SERVICE     |   202 |         7175.68
post_office                    | T4_DAILY_SERVICE     |   233 |         7150.12
butcher                        | T4_DAILY_SERVICE     |   291 |         7110.37
florist                        | T4_DAILY_SERVICE     |   357 |         7073.87
bank                           | T4_DAILY_SERVICE     |   371 |         7067.01
fuel                           | T4_DAILY_SERVICE     |   417 |         7046.19
bakery                         | T4_DAILY_SERVICE     |   430 |         7040.72
pharmacy                       | T4_DAILY_SERVICE     |   733 |         6946.15
clothes                        | T4_DAILY_SERVICE     |   985 |         6894.17
convenience                    | T4_DAILY_SERVICE     |  1620 |         6807.64
car_wash                       | T5_SPEC_GASTRO       |   382 |          771.84
food_court                     | T5_SPEC_GASTRO       |    13 |          766.89
nightclub                      | T5_SPEC_GASTRO       |    53 |          741.60
arts_centre                    | T5_SPEC_GASTRO       |    58 |          739.98
bar                            | T5_SPEC_GASTRO       |    94 |          731.30
pub                            | T5_SPEC_GASTRO       |    97 |          730.73
chemist                        | T5_SPEC_GASTRO       |   192 |          718.48
community_centre               | T5_SPEC_GASTRO       |   295 |          710.79
cafe                           | T5_SPEC_GASTRO       |   332 |          708.68
beauty                         | T5_SPEC_GASTRO       |   444 |          703.50
fast_food                      | T5_SPEC_GASTRO       |   584 |          698.63
car_repair                     | T5_SPEC_GASTRO       |   590 |          698.45
hairdresser                    | T5_SPEC_GASTRO       |   626 |          697.40
company                        | T5_SPEC_GASTRO       |  1069 |          687.98
restaurant                     | T5_SPEC_GASTRO       |  1252 |          685.23
playground                     | T6_MICRO_INFRA       |  2517 |           10.30
newsagent                      | T6_MICRO_INFRA       |    54 |            7.41
kiosk                          | T6_MICRO_INFRA       |    57 |            7.40
fountain                       | T6_MICRO_INFRA       |   169 |            7.35
toilets                        | T6_MICRO_INFRA       |   480 |            7.02
picnic_table                   | T6_MICRO_INFRA       |   586 |            6.99
atm                            | T6_MICRO_INFRA       |   625 |            6.97
vending_machine                | T6_MICRO_INFRA       |  1216 |            6.86
parcel_locker                  | T6_MICRO_INFRA       |  2125 |            6.76

==========================================================================================

CITY: PRZEMYSL
Total recognized POI types: 72
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
terminal                       | T0_MEGA_HUB          |     2 |     29215407.51
station                        | T0_MEGA_HUB          |    16 |     27749352.45
stadium                        | T1_REGIONAL_MAGNET   |     1 |     21577569.42
hospital                       | T1_REGIONAL_MAGNET   |     4 |     19447679.63
university                     | T1_REGIONAL_MAGNET   |     3 |     14841544.54
college                        | T1_REGIONAL_MAGNET   |     5 |     14696850.42
mall                           | T2_STRATEGIC_HUB     |     3 |      1718164.77
prison                         | T2_STRATEGIC_HUB     |     1 |      1596902.50
school                         | T2_STRATEGIC_HUB     |    64 |      1411298.42
social_facility                | T2_STRATEGIC_HUB     |    18 |      1377834.08
courthouse                     | T2_STRATEGIC_HUB     |     2 |      1186925.45
supermarket                    | T2_STRATEGIC_HUB     |    29 |      1092907.27
townhall                       | T2_STRATEGIC_HUB     |     5 |      1039606.63
police                         | T2_STRATEGIC_HUB     |     8 |      1031336.19
department_store               | T2_STRATEGIC_HUB     |     1 |       994530.13
government                     | T2_STRATEGIC_HUB     |    28 |       881927.45
fire_station                   | T2_STRATEGIC_HUB     |    22 |       848092.27
kindergarten                   | T3_LOCAL_CORE        |    42 |       114312.00
sports_hall                    | T3_LOCAL_CORE        |    10 |       112141.12
cinema                         | T3_LOCAL_CORE        |     2 |       110558.96
clinic                         | T3_LOCAL_CORE        |     7 |        95827.78
swimming_pool                  | T3_LOCAL_CORE        |     6 |        69410.18
water_park                     | T3_LOCAL_CORE        |     1 |        59411.73
language_school                | T3_LOCAL_CORE        |     2 |        58430.82
theatre                        | T3_LOCAL_CORE        |     3 |        57857.42
driving_school                 | T3_LOCAL_CORE        |     3 |        57857.42
dentist                        | T3_LOCAL_CORE        |    10 |        56158.70
library                        | T3_LOCAL_CORE        |    13 |        55789.95
doctors                        | T3_LOCAL_CORE        |    27 |        54768.05
park                           | T4_DAILY_SERVICE     |    23 |        13717.13
furniture                      | T4_DAILY_SERVICE     |     9 |        10398.93
fuel                           | T4_DAILY_SERVICE     |    17 |        10085.11
electronics                    | T4_DAILY_SERVICE     |     8 |         9337.15
garden                         | T4_DAILY_SERVICE     |   146 |         8353.92
place_of_worship               | T4_DAILY_SERVICE     |    96 |         7747.87
shoes                          | T4_DAILY_SERVICE     |    16 |         6850.57
optician                       | T4_DAILY_SERVICE     |     6 |         6219.69
clothes                        | T4_DAILY_SERVICE     |    60 |         6213.50
bakery                         | T4_DAILY_SERVICE     |    14 |         5890.10
florist                        | T4_DAILY_SERVICE     |    23 |         5860.63
charging_station               | T4_DAILY_SERVICE     |     2 |         5843.08
butcher                        | T4_DAILY_SERVICE     |     5 |         5713.57
hardware                       | T4_DAILY_SERVICE     |     7 |         5666.11
pet                            | T4_DAILY_SERVICE     |     8 |         5647.29
bureau_de_change               | T4_DAILY_SERVICE     |     8 |         5647.29
post_office                    | T4_DAILY_SERVICE     |    15 |         5558.92
bank                           | T4_DAILY_SERVICE     |    22 |         5505.34
pharmacy                       | T4_DAILY_SERVICE     |    30 |         5462.17
convenience                    | T4_DAILY_SERVICE     |    88 |         5315.15
arts_centre                    | T5_SPEC_GASTRO       |     2 |         1066.53
chemist                        | T5_SPEC_GASTRO       |     9 |          910.82
community_centre               | T5_SPEC_GASTRO       |    13 |          887.61
company                        | T5_SPEC_GASTRO       |    13 |          858.42
car_repair                     | T5_SPEC_GASTRO       |    28 |          739.38
bar                            | T5_SPEC_GASTRO       |     9 |          620.28
nightclub                      | T5_SPEC_GASTRO       |     2 |          584.31
car_wash                       | T5_SPEC_GASTRO       |    20 |          582.54
beauty                         | T5_SPEC_GASTRO       |     6 |          568.78
hairdresser                    | T5_SPEC_GASTRO       |    13 |          557.90
pub                            | T5_SPEC_GASTRO       |    17 |          554.14
cafe                           | T5_SPEC_GASTRO       |    18 |          553.34
fast_food                      | T5_SPEC_GASTRO       |    50 |          539.17
restaurant                     | T5_SPEC_GASTRO       |    53 |          538.37
playground                     | T6_MICRO_INFRA       |   142 |            8.71
fountain                       | T6_MICRO_INFRA       |     5 |            6.59
newsagent                      | T6_MICRO_INFRA       |     3 |            6.42
picnic_table                   | T6_MICRO_INFRA       |     3 |            5.79
vending_machine                | T6_MICRO_INFRA       |     7 |            5.67
kiosk                          | T6_MICRO_INFRA       |    17 |            5.54
toilets                        | T6_MICRO_INFRA       |    20 |            5.52
parcel_locker                  | T6_MICRO_INFRA       |    28 |            5.47
atm                            | T6_MICRO_INFRA       |    36 |            5.44

==========================================================================================

CITY: RADOM
Total recognized POI types: 76
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     2 |    178945696.35
apron                          | T0_MEGA_HUB          |    11 |     96783908.08
hangar                         | T0_MEGA_HUB          |     8 |     74540531.68
station                        | T0_MEGA_HUB          |    20 |     31787995.30
terminal                       | T0_MEGA_HUB          |    33 |     31399896.21
hospital                       | T1_REGIONAL_MAGNET   |     8 |     19210122.39
college                        | T1_REGIONAL_MAGNET   |    12 |     13809980.29
stadium                        | T1_REGIONAL_MAGNET   |    16 |      9936984.91
university                     | T1_REGIONAL_MAGNET   |    43 |      6238998.46
prison                         | T2_STRATEGIC_HUB     |     1 |      2464083.29
school                         | T2_STRATEGIC_HUB     |   123 |      1812429.78
mall                           | T2_STRATEGIC_HUB     |    26 |      1588963.64
